,Man_mean,Tent_mean,M,D,prob,ranking,Length
comp69979_c0,8.08068221005263,6.36658829728921,0.343956623658234,1.71409391276342,0.515316200554296,1.74826316689764,2378
comp69980_c1,0.59977409352826,0.76668592550533,-0.354216487510913,0.16691183197707,0.192607709750567,-0.391572317303599,403
comp69981_c0,0.696280953844947,3.6619191464136,-2.39485847200826,2.96563819256866,0.889448223733938,-3.81187053691119,1215
comp69984_c0,0.839267221152391,0.468143072694921,0.84218072529259,0.37112414845747,0.296621315192744,0.920326848256985,792
comp69984_c1,0.682243031388396,0.69768419220985,-0.0322883926235507,0.0154411608214543,0.0394583018392542,-0.035790637682592,620
comp69985_c0,148.577898893025,362.464763378605,-1.28662122235495,213.886864485581,0.920425799949609,-213.890734239805,2463
comp69988_c3,7.34075093721764,11.0411611150871,-0.588892338190992,3.70041017786949,0.69230788611741,-3.74697607017448,4511
comp69989_c1,2.02303714443721,6.10653001762749,-1.59383000494296,4.08349287319028,0.885273368606702,-4.38351549900902,6183
comp69990_c0,368.292202836873,310.517215270849,0.246177599483961,57.7749875660244,0.579236583522298,57.7755120415627,2964
comp69991_c0,7.49906394727533,10.0953874849139,-0.428913854788515,2.59632353763853,0.60591584782061,-2.63151344418481,3336
comp69993_c0,0.310679896776207,0.582471072453321,-0.906757510539692,0.271791175677114,0.251242126480222,-0.946614824570209,1167
comp69994_c0,4.10783863516536,3.67570968781088,0.160356685318845,0.43212894735448,0.222781557067271,0.460922654756888,2589
comp69995_c0,0.0951610077527121,12.6509214605431,-7.05465620565201,12.5557604527904,0.992484252960443,-14.4019198278493,635
comp69996_c0,0.301382742757966,1.38691763182435,-2.20221339406586,1.08553488906639,0.635691609977324,-2.45522500565294,401
comp69996_c1,0.836363182324875,1.49676193484466,-0.839643314681155,0.660398752519786,0.408586545729403,-1.06823565200683,578
comp69996_c4,1.16062232813639,2.45035481916152,-1.07809208223668,1.28973249102513,0.626104812295288,-1.68097960611879,1614
comp69997_c0,27.568780280967,13.3356743990784,1.04774465460509,14.2331058818885,0.872098765432099,14.2716177046018,3290
comp69998_c0,5.67043979881855,31.232326661618,-2.46150750744333,25.5618868627995,0.981952632905014,-25.6801300463171,3506
comp70000_c0,0.985418006897624,2.2673720399132,-1.20221339406586,1.28195403301557,0.639445704207609,-1.75747636901219,1717
comp70001_c0,19.6356181120151,18.3929102736754,0.094323240908624,1.24270783833966,0.245779793398841,1.24628232966946,1868
comp70003_c0,11.6724525697511,18.7377400571039,-0.682839234972284,7.06528748735286,0.750458553791887,-7.0982079921458,6233
comp70004_c0,15.8634550402276,31.0041697159921,-0.966755232584494,15.1407146757645,0.840561854371378,-15.1715475997883,1158
comp70005_c0,23.482138601,40.1956076953817,-0.775474056297653,16.7134690943817,0.791970269589317,-16.7314497035028,6194
comp70006_c2,0.842709662584518,0.963168848497836,-0.192753064816797,0.120459185913318,0.140219198790627,-0.227297513112589,1219
comp70006_c5,0.194926580396684,0.199338340631386,-0.0322883926235508,0.00441176023470125,0.016029226505417,-0.032588401718726,310
comp70007_c0,0.270367963861173,0.27648718387351,-0.032288392623551,0.00611922001233733,0.0337994457042076,-0.0328631275409382,447
comp70008_c1,6.18140946097289,3.74146083279062,0.724334160910665,2.43994862818227,0.666792642983119,2.54519336884856,4575
comp70011_c0,16.7815274032814,16.6168168770779,0.0142299860054388,0.164710526203422,0.0347996976568405,0.165324075512077,3518
comp70012_c0,5.00128081154103,10.1687786423352,-1.02377689276803,5.16749783079422,0.835283446712018,-5.26793630916593,1027
comp70014_c0,236.484966756182,238.463276922247,-0.0120186349151043,1.9783101660648,0.0464348702443941,-1.97834667354854,1978
comp70016_c0,11.8578726508905,8.19440603836335,0.53313392170196,3.66346661252713,0.674910556815319,3.70205610432505,5045
comp70017_c1,1.37088663705847,13.7977834106286,-3.3312553390676,12.4268967735701,0.990657596371882,-12.86565293932,1675
