,Rhop_mean,Tent_mean,M,D,prob,ranking,Length
comp55947_c1,1.83784243187435,6.81279018213789,-1.89023269393068,4.97494775026354,0.909912942248317,-5.32194370085372,644
comp55948_c1,0.0598669967691999,2.34426728360127,-5.29123235980924,2.28440028683207,0.828660727843296,-5.76329979750931,659
comp55957_c1,0.08466169714786,0.198910575951919,-1.23233867075567,0.114248878804059,0.17615275598522,-1.23762328911015,932
comp55961_c0,16.9434861107012,3.19628718598601,2.40626179356756,13.7471989247152,0.975525130333553,13.956201993912,638
comp55961_c1,12.7953570392117,3.46873578188087,1.88313854666427,9.32662125733084,0.939995950802247,9.51483446328039,481
comp55966_c0,0.509884987022976,0.798641493967426,-0.647376170034512,0.28875650694445,0.243192286278281,-0.70885557473389,619
comp55974_c0,0.246320608975459,0.450118833683774,-0.86976859137096,0.203798224708315,0.212010932833932,-0.893325874991699,961
comp55987_c0,NA,NA,NA,NA,NA,0,515
comp55995_c0,2.37358363641014,7.51523533459023,-1.66275139592143,5.1416516981801,0.901571594877765,-5.40382497773909,2327
comp56005_c0,NA,NA,NA,NA,NA,0,674
comp56010_c0,0.805150017773525,1.89168017129784,-1.23233867075567,1.08653015352432,0.585162220984967,-1.64292616205276,392
comp56022_c0,0.101681316677584,0.159265169061159,-0.647376170034512,0.0575838523835743,0.142440653945437,-0.649932154600683,776
comp56033_c0,0.132612944103875,5.08899057847185,-5.26208601414972,4.95637763436797,0.954347826086957,-7.22877779951585,595
comp56033_c1,0.0437387481939055,6.30280429579503,-7.17093812609153,6.25906554760113,0.970719238750822,-9.51831156967455,902
comp56035_c0,NA,NA,NA,NA,NA,0,333
comp56051_c0,NA,NA,NA,NA,NA,0,572
comp56060_c0,0.267927679938219,5.14083088996732,-4.26208601414972,4.8729032100291,0.952768638963405,-6.47383679793695,589
comp56060_c2,0.0653184617067926,3.12043710375787,-5.5781135075974,3.05511864205107,0.890929797033963,-6.35996070904912,1208
comp56101_c1,0.555666913674687,0.870350501348304,-0.647376170034512,0.314683587673617,0.250569418433973,-0.719806686464979,994
comp56102_c0,0.32740540141828,0.641025784188066,-0.969304264921874,0.313620382769786,0.268132813686288,-1.01877794562132,482
comp56125_c0,0.160050104952952,1.12810135975977,-2.81730117147682,0.968051254806817,0.577304246596143,-2.97897786543266,493
comp56134_c2,0.519109879880299,1.62618119988762,-1.64737617003451,1.10707132000732,0.598175330262692,-1.98480607445169,304
comp56141_c0,NA,NA,NA,NA,NA,0,864
comp56151_c1,3.49909985551244,3.8364895713535,-0.132802997204754,0.33738971584106,0.196737865060485,-0.362585791809162,451
comp56151_c5,1.90706227774756,2.24029796721678,-0.232338670755668,0.333235689469217,0.244915726071772,-0.406235501482251,331
comp56186_c1,0.320100209905905,3.38430407927931,-3.40226367219798,3.0642038693734,0.890231310421623,-4.57872727384379,493
comp56195_c0,0.606376190138755,1.42466595033382,-1.23233867075567,0.818289760195068,0.510581059877512,-1.47927574545111,1041
comp56206_c1,0.433542317262668,0.169766169219037,1.35262382996549,0.26377614804363,0.256056081388875,1.37810343649061,728
comp56213_c0,NA,NA,NA,NA,NA,0,334
comp56218_c0,0.434736648715182,0.0851169223081675,2.35262382996549,0.349619726407014,0.308523561269423,2.37846018222177,363
comp56233_c0,0.353832743236796,0.415660665442127,-0.232338670755668,0.0618279222053312,0.142321708761452,-0.240424520157032,446
comp56235_c0,0.862346467123557,1.35070788187387,-0.647376170034512,0.488361414750313,0.314483474211672,-0.810920943708744,366
comp56236_c0,1.07842416959187,0.563051349391613,0.937586330686644,0.515372820200261,0.354198511919826,1.06989591610194,439
comp56242_c0,4.90236312597016,2.0110761584409,1.28550963410695,2.89128696752926,0.81103659462469,3.16418636429436,338
comp56244_c0,3.25753355814793,0.566925555924125,2.5225488314078,2.69060800222381,0.856094042617806,3.68817353556847,436
comp56245_c0,0.0808449812928335,1.5195463671081,-4.23233867075567,1.43870138581527,0.700091106949436,-4.47018481737843,488
comp56252_c0,0.124651977475206,0.683355764881686,-2.45473109209212,0.55870378740648,0.423098142430531,-2.51750961399278,633
comp56255_c0,4.81997046839083,7.54960140762307,-0.647376170034512,2.72963093923224,0.655466416966139,-2.80534863607759,442
comp56255_c2,4.70487662559834,8.3672578011609,-0.830597994090282,3.66238117556256,0.72259958495723,-3.75538665158487,805
comp56273_c0,0.475329528565093,0.186129173481113,1.35262382996549,0.28920035508398,0.272665384420712,1.38319487808884,332
comp56273_c1,0.56461325038859,0.663272475088332,-0.232338670755668,0.0986592246997414,0.165078200131599,-0.252418106614531,559
comp56303_c0,1.21081383747016,0.790215928334138,0.615658235799282,0.420597909136023,0.289980766310675,0.745612274896999,391
comp56303_c1,0.55960781377167,0.292174399979809,0.937586330686644,0.267433413791861,0.246871994736043,0.974981414337122,423
comp56307_c1,23.9257107415007,4.71245609626989,2.34401069966078,19.2132546452308,0.97774965834894,19.3557107909425,2203
comp56310_c1,0.400531480922871,0.156839811156674,1.35262382996549,0.243691669766197,0.245168800931315,1.37440054398416,394
comp56311_c1,0.718622055936298,0.0562794950780779,3.67455192485285,0.66234256085822,0.468193551652579,3.7337688086388,1098
comp56328_c2,1.23288596471571,1.25520861366326,-0.0258877932882417,0.0223226489475459,0.0412992863288961,-0.0341830147495814,640
comp56337_c0,0.922862008676088,0.722747199950054,0.352623829965488,0.200114808726034,0.205929543959103,0.405449752905322,513
comp56339_c0,0.0687323185904229,0.215313190229023,-1.64737617003451,0.1465808716386,0.197626157817482,-1.65388457805492,574
comp56339_c1,0.482597564170064,0.566925555924125,-0.232338670755668,0.0843279917540603,0.155175380877664,-0.247168906057748,327
comp56340_c0,NA,NA,NA,NA,NA,0,312
